,Laptop_name,rating,Number of ratings,Number of reviews,Specific,Discounted_Price,Original_Price,Discount %
51,"APPLE iPhone 14 (Blue, 128 GB)",4.7,"4,247 ",163,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","67,999","79,900",14
52,"REDMI 10 (Pacific Blue, 64 GB)",4.3,"1,70,664 ","10,998",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"8,999","14,999",40
53,I Kall K3312,3.5,"12,298 ","1,161",32 MB RAM | 64 MB ROM | Expandable Upto 8 GB4.57 cm (1.8 inch) Display0.3MP Rear Camera1000 mAh Battery15 Month  Manufacturer Warranty,999,"14,999",40
54,"REDMI 10 (Midnight Black, 64 GB)",4.3,"1,70,664 ","10,998",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"8,999","19,999",40
55,"POCO M4 Pro (Cool Blue, 128 GB)",4.3,"1,34,237 ","12,247","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.33 cm (6.43 inch) Full HD+ AMOLED Display64MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G96 ProcessorOne Year for Handset, 6 Months for Accessories","11,999","43,900",13
56,"APPLE iPhone 11 (Black, 64 GB)",4.6,"1,78,400 ","10,573",64 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty of 1 Year,"37,999","17,999",38
57,DIZO Star 300,3.9,"9,590 ","1,140",32 MB RAM | 32 MB ROM | Expandable Upto 64 GB4.5 cm (1.77 inch) Quarter QVGA Display0.3MP Rear Camera2550 mAh BatterySC6531E Processor1 Year Warranty,"1,485","17,999",38
58,"POCO M4 Pro (Cool Blue, 64 GB)",4.3,"1,34,237 ","12,247","6 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.33 cm (6.43 inch) Full HD+ AMOLED Display64MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G96 ProcessorOne Year for Handset, 6 Months for Accessories","10,999","14,999",20
59,"POCO M4 Pro (Yellow, 64 GB)",4.3,"1,34,237 ","12,247","6 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.33 cm (6.43 inch) Full HD+ AMOLED Display64MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G96 ProcessorOne Year for Handset, 6 Months for Accessories","10,999","11,999",37
60,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.4,"1,11,744 ","6,424",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 5MP + 2MP | 8MP Front Camera6000 mAh Lithium Ion BatteryExynos 850 Processor1 Year Warranty Provided By the Manufacturer from Date of Purchase,"11,999","23,999",37
