,Mobile_Brand,Mobile model,mobile with 5g services,ROM,rating,No of ratings ,No of reviews,Battery,Display,Processor,warranty,RAM,Camera,Expandable,discounted_price,Original_price,discount_percent
68,Cellecor,Cellecor A5 ,,,4.4,41 ,3,,,,,,,,"1,348","23,999",37
69,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"10,999","10,999",27
70,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.4,"1,11,744 ","6,424", ,,,,, 12MP Front ,,"11,999","11,999",37
71,SAMSUNG,SAMSUNG Galaxy F23,5G, 128 GB,4.3,"1,40,978 ","11,531",,,A13 Bionic Chip ,,,,,"14,999","10,999",40
72,MOTOROLA,MOTOROLA e40 ,, 64 GB,4.1,"59,846 ","5,853",,,,Brand Warranty of 1 Year,,,,"7,999","10,999",27
73,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329", ,,,,32 MB  ,,  Upto 32 GB,"7,499","9,999",28
74,POCO,POCO C31 ,, 32 GB,4.3,"1,25,511 ","7,439",,6.1 cm (2.4 inch) ,,,,,,"6,499","23,999",37
75,MOTOROLA,MOTOROLA e40 ,, 64 GB,4.1,"59,846 ","5,853",,,,,,0.8MP Rear ,,"7,999","19,999",15
76,REDMI,REDMI 9i Sport,, 64 GB,4.3,"2,17,141 ","12,271",2000 mAh Battery,,,,,,,"7,199","21,999",31
77,SAMSUNG,SAMSUNG Galaxy F23,5G, 128 GB,4.3,"1,40,978 ","11,531",,,,1 Year Manufacturer Warranty,,,,"14,999","16,999",11
78,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,4 GB  ,,  Upto 1 TB,"8,999","14,999",40
79,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,17.2 cm (6.7 inch) HD+ ,,,,,,"67,999","79,900",14
80,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573", ,,,,, 5MP Front ,,"37,999","43,900",13
81,Cellecor,Cellecor A30i ,,,3.4,19 ,2,6000 mAh Lithium Polymer Battery,,,,,,,"1,449","79,900",14
82,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,,Qualcomm Snapdragon 68 ,,,,,"67,999","43,900",13
83,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"37,999","14,999",40
84,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,,,,,"8,999","1,098",4%
85,Cellecor,Cellecor R3+ ,,,3.5,13 ,2,,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"1,049","14,999",40
86,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,, 12MP Front ,,"8,999","19,999",40
87,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280",,,"A15 Bionic Chip, 6 Core  ",,,,,"11,999","17,999",38
88,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"10,999","11,999",37
89,Cellecor,Cellecor C60+ ,,,3.6,96 ,6,,,,,,,,"1,459","17,999",38
90,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"7,499","14,999",20
91,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"10,999","23,999",37
92,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.4,"1,11,744 ","6,424",,,A13 Bionic Chip ,,,,,"11,999","10,999",27
93,Cellecor,Cellecor E1 ,,,3.6,38 ,2,,,,Brand Warranty of 1 Year,,,,"1,229","11,999",37
94,SAMSUNG,SAMSUNG Galaxy F23,5G, 128 GB,4.3,"1,40,978 ","11,531", ,,,,32 MB  ,,  Upto 32 GB,"14,999","10,999",40
95,MOTOROLA,MOTOROLA e40 ,, 64 GB,4.1,"59,846 ","5,853",,6.1 cm (2.4 inch) ,,,,,,"7,999","10,999",27
96,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,,,,0.8MP Rear ,,"7,499","21,999",31
97,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,4 GB  ,,  Upto 1 TB,"8,999","14,999",40
98,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,17.2 cm (6.7 inch) HD+ ,,,,,,"67,999","79,900",14
99,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573", ,,,,, 5MP Front ,,"37,999","43,900",13
100,Cellecor,Cellecor A30i ,,,3.4,19 ,2,6000 mAh Lithium Polymer Battery,,,,,,,"1,449","79,900",14
101,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,,Qualcomm Snapdragon 68 ,,,,,"67,999","43,900",13
102,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"37,999","14,999",40
103,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,,,,,"8,999","14,999",40
104,Cellecor,Cellecor C60+ ,,,3.6,96 ,6,,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"1,459","19,999",40
105,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,, 12MP Front ,,"8,999","11,999",37
106,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280",,,"A15 Bionic Chip, 6 Core  ",,,,,"11,999","17,999",38
107,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"7,499","17,999",38
108,Cellecor,Cellecor E1 ,,,3.6,38 ,2,,,,,,,,"1,229","14,999",20
109,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"10,999","23,999",37
110,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"10,999","11,999",37
111,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.4,"1,11,744 ","6,424",,,A13 Bionic Chip ,,,,,"11,999","10,999",27
112,Cellecor,Cellecor X2 ,,,4.3,"1,40,978 ","11,531",,,,Brand Warranty of 1 Year,,,,"1,149","10,999",40
113,SAMSUNG,SAMSUNG Galaxy F23,5G, 128 GB,4.3,"1,87,995 ","11,329", ,,,,32 MB  ,,  Upto 32 GB,"14,999","10,999",27
114,POCO,POCO C31 ,, 64 GB,4.1,"59,846 ","5,853",,6.1 cm (2.4 inch) ,,,,,,"7,499","21,999",31
115,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,4 GB  ,,  Upto 1 TB,"8,999","14,999",40
116,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,17.2 cm (6.7 inch) HD+ ,,,,,,"37,999","43,900",13
117,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163, ,,,,, 5MP Front ,,"67,999","79,900",14
118,Cellecor,Cellecor A30i ,,,3.4,19 ,2,6000 mAh Lithium Polymer Battery,,,,,,,"1,449","79,900",14
119,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,,Qualcomm Snapdragon 68 ,,,,,"67,999","43,900",13
120,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"37,999","14,999",40
121,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,,,,,"8,999","19,999",40
122,Cellecor,Cellecor C60+ ,,,3.6,96 ,6,,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"1,459","11,999",37
123,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"11,999","17,999",38
124,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,A13 Bionic Chip ,,,,,"7,499","17,999",38
125,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,,,Brand Warranty of 1 Year,,,,"10,999","14,999",20
126,Cellecor,Cellecor R50 ,,,4.1,52 ,7,,,,,,,,"1,459","23,999",37
127,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"10,999","10,999",27
128,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.4,"1,11,744 ","6,424", ,,,,, 12MP Front ,,"11,999","11,999",37
129,SAMSUNG,SAMSUNG Galaxy F23,5G, 128 GB,4.3,"1,40,978 ","11,531",,,"A15 Bionic Chip, 6 Core  ",,,,,"14,999","9,999",28
130,Cellecor,Cellecor A5 ,,,4.4,41 ,3,,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"1,348","10,999",40
131,MOTOROLA,MOTOROLA e40 ,, 64 GB,4.1,"59,846 ","5,853", ,,,,32 MB  ,,  Upto 32 GB,"7,999","10,999",27
132,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,6.1 cm (2.4 inch) ,,,,,,"7,499","23,999",37
133,REDMI,REDMI 9i Sport,, 64 GB,4.3,"2,17,141 ","12,271",,,,,,0.8MP Rear ,,"7,199","21,999",31
134,POCO,POCO C31 ,, 32 GB,4.3,"1,25,511 ","7,439",2000 mAh Battery,,,,,,,"6,499","16,999",11
135,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,4 GB  ,,  Upto 1 TB,"8,999","14,999",40
136,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,17.2 cm (6.7 inch) HD+ ,,,,,,"67,999","79,900",14
137,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573", ,,,,, 5MP Front ,,"37,999","43,900",13
138,Cellecor,Cellecor R3+ ,,,3.5,13 ,2,6000 mAh Lithium Polymer Battery,,,,,,,"1,049","79,900",14
139,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,,Qualcomm Snapdragon 68 ,,,,,"67,999","43,900",13
140,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"37,999","14,999",40
141,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,,,,,"8,999","19,999",40
142,Cellecor,Cellecor R50 ,,,4.1,52 ,7,,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"1,459","17,999",38
143,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"11,999","11,999",37
144,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,,"A15 Bionic Chip, 6 Core  ",,,,,"10,999","17,999",38
145,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"7,499","14,999",20
146,Cellecor,Cellecor A5 ,,,4.4,41 ,3,,,,,,,,"1,348","23,999",37
147,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"10,999","10,999",27
148,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.4,"1,11,744 ","6,424", ,,,,, 12MP Front ,,"11,999","11,999",37
149,SAMSUNG,SAMSUNG Galaxy F23,5G, 128 GB,4.3,"1,40,978 ","11,531",,,A13 Bionic Chip ,,,,,"14,999","10,999",40
150,MOTOROLA,MOTOROLA e40 ,, 64 GB,4.1,"59,846 ","5,853",,,,Brand Warranty of 1 Year,,,,"7,999","10,999",27
151,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329", ,,,,32 MB  ,,,"7,499","9,999",28
152,POCO,POCO C31 ,, 32 GB,4.3,"1,25,511 ","7,439",,4.5 cm (1.77 inch) ,,,,,,"6,499","14,999",40
153,MOTOROLA,MOTOROLA e40 ,, 64 GB,4.1,"59,846 ","5,853",,,,,,0.8MP Rear ,,"7,999","23,999",37
154,REDMI,REDMI 9i Sport,, 64 GB,4.3,"2,17,141 ","12,271",1000 mAh Battery,,,,,,,"7,199","21,999",31
155,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,1 Year Manufacturer Warranty,,,,"8,999","16,999",11
156,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,4 GB  ,,  Upto 1 TB,"8,999","14,999",40
157,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,17.2 cm (6.7 inch) HD+ ,,,,,,"67,999","79,900",14
158,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573", ,,,,, 5MP Front ,,"37,999","43,900",13
159,Cellecor,Cellecor C60+ ,,,3.6,96 ,6,6000 mAh Lithium Polymer Battery,,,,,,,"1,459","79,900",14
160,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,,Qualcomm Snapdragon 68 ,,,,,"67,999","43,900",13
