,Laptop_BRAND,Laptop model name,Device color,Number of ratings,Number of reviews,RAM,ROM,DISPLAY,Discounted_Price,Original_Price,Discount %
70,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
71,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
72,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
73,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
74,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
75,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
76,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
77,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
78,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
79,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
80,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
81,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
82,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
83,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
84,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
85,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
