,Mobile_name,Specifics,Rating & Reviews, Discount
61,DIZO Star 500,Qualcomm Snapdragon 680 Processor,"12,421 Ratings & 1,467 Reviews",27% off
62,"POCO C31 (Royal Blue, 64 GB)",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,87,995 Ratings & 11,329 Reviews",6% off
63,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",128 GB ROM,"1,40,978 Ratings & 11,531 Reviews",37% off
64,"MOTOROLA e40 (Carbon Gray, 64 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,"59,846 Ratings & 5,853 Reviews",40% off
65,"I Kall King Talking, Contact icon and Auto Call Recording",12MP + 12MP | 12MP Front Camera,"15,092 Ratings & 1,403 Reviews",11% off
66,"POCO C31 (Shadow Gray, 64 GB)","A15 Bionic Chip, 6 Core Processor Processor","1,87,995 Ratings & 11,329 Reviews",37% off
67,"POCO C31 (Royal Blue, 32 GB)",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,25,372 Ratings & 7,433 Reviews",6% off
68,"POCO M4 Pro 5G (Cool Blue, 64 GB)",64 GB ROM,"35,159 Ratings & 3,125 Reviews",37% off
69,DIZO Star 500,32 MB RAM | 32 MB ROM | Expandable Upto 64 GB,"12,421 Ratings & 1,467 Reviews",14% off
70,"APPLE iPhone 14 (Midnight, 128 GB)",7.11 cm (2.8 inch) QVGA Display,"4,247 Ratings & 163 Reviews",40% off
71,"REDMI 10 (Pacific Blue, 64 GB)",0.3MP Rear Camera,"1,70,664 Ratings & 10,998 Reviews",40% off
72,"REDMI 10 (Caribbean Green, 64 GB)",1900 mAh Battery,"1,70,664 Ratings & 10,998 Reviews",14% off
73,"APPLE iPhone 14 (Blue, 128 GB)",SC6531E Processor,"4,247 Ratings & 163 Reviews",20% off
74,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",1 Year Warranty,"1,11,744 Ratings & 6,424 Reviews",13% off
75,"APPLE iPhone 11 (White, 64 GB)",128 GB ROM,"1,78,400 Ratings & 10,573 Reviews",40% off
76,"POCO M4 Pro (Cool Blue, 128 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,"1,34,237 Ratings & 12,247 Reviews",38% off
77,"POCO M4 Pro (Cool Blue, 64 GB)",12MP + 12MP | 12MP Front Camera,"1,34,237 Ratings & 12,247 Reviews",11% off
78,"POCO M4 Pro 5G (Cool Blue, 64 GB)","A15 Bionic Chip, 6 Core Processor Processor","35,159 Ratings & 3,125 Reviews",13% off
79,"APPLE iPhone 11 (Black, 64 GB)",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,78,400 Ratings & 10,573 Reviews",38% off
80,"POCO M4 Pro (Yellow, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"1,34,237 Ratings & 12,247 Reviews",40% off
81,"POCO M4 Pro (Yellow, 128 GB)",17.02 cm (6.7 inch) HD+ Display,"1,34,237 Ratings & 12,247 Reviews",37% off
82,"POCO C31 (Royal Blue, 64 GB)",50MP + 2MP | 5MP Front Camera,"1,87,995 Ratings & 11,329 Reviews",37% off
83,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",6000 mAh Lithium Polymer Battery,"1,40,978 Ratings & 11,531 Reviews",27% off
84,"MOTOROLA e40 (Carbon Gray, 64 GB)",Qualcomm Snapdragon 680 Processor,"59,846 Ratings & 5,853 Reviews",23% off
85,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,11,744 Ratings & 6,424 Reviews",37% off
86,"POCO C31 (Shadow Gray, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"1,87,995 Ratings & 11,329 Reviews",20% off
87,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",17.02 cm (6.7 inch) HD+ Display,"1,11,744 Ratings & 6,424 Reviews",27% off
88,"MOTOROLA e40 (Pink Clay, 64 GB)",50MP + 2MP | 5MP Front Camera,"59,846 Ratings & 5,853 Reviews",20% off
89,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",6000 mAh Lithium Polymer Battery,"1,11,744 Ratings & 6,424 Reviews",15% off
90,"POCO M4 Pro 5G (Cool Blue, 128 GB)",Qualcomm Snapdragon 680 Processor,"43,191 Ratings & 3,849 Reviews",28% off
91,"REDMI 9i Sport (Carbon Black, 64 GB)",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"2,16,491 Ratings & 12,210 Reviews",37% off
92,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",128 GB ROM,"1,40,978 Ratings & 11,531 Reviews",15% off
93,"I Kall Z7 Ultra Series (Blue, 32 GB)",4 GB RAM | 32 GB ROM,343 Ratings & 35 Reviews,4% off
94,"Tecno Camon 19 (Sea Salt White, 128 GB)",15.9 cm (6.26 inch) Display,195 Ratings & 21 Reviews,3% off
95,"REDMI 10 (Caribbean Green, 64 GB)",13MP Rear Camera | 8MP Front Camera,"1,70,664 Ratings & 10,998 Reviews",40% off
96,"APPLE iPhone 14 (Midnight, 128 GB)",4000 mAh Battery,"4,247 Ratings & 163 Reviews",14% off
97,"APPLE iPhone 11 (White, 64 GB)",1 year manufacturing warranty for mobile and 6 months for box accessories,"1,78,400 Ratings & 10,573 Reviews",13% off
98,"APPLE iPhone 14 (Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"4,247 Ratings & 163 Reviews",14% off
99,"REDMI 10 (Pacific Blue, 64 GB)",17.27 cm (6.8 inch) Full HD+ Display,"1,70,664 Ratings & 10,998 Reviews",40% off
100,I Kall K3312,64MP + 2MP | 16MP Front Camera,"12,298 Ratings & 1,161 Reviews",40% off
101,"REDMI 10 (Midnight Black, 64 GB)",5000 mAh Battery,"1,70,664 Ratings & 10,998 Reviews",40% off
102,"POCO M4 Pro (Cool Blue, 128 GB)",MediaTek Helio G85 Processor,"1,34,237 Ratings & 12,247 Reviews",13% off
103,"APPLE iPhone 11 (Black, 64 GB)","1 Year Warranty for Handset, 6 Months for Accessories","1,78,400 Ratings & 10,573 Reviews",38% off
104,DIZO Star 300,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"9,590 Ratings & 1,140 Reviews",38% off
105,"POCO M4 Pro (Cool Blue, 64 GB)",17.02 cm (6.7 inch) HD+ Display,"1,34,237 Ratings & 12,247 Reviews",20% off
106,"POCO M4 Pro (Yellow, 64 GB)",50MP + 2MP | 5MP Front Camera,"1,34,237 Ratings & 12,247 Reviews",37% off
107,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",6000 mAh Lithium Polymer Battery,"1,11,744 Ratings & 6,424 Reviews",37% off
108,DIZO Star 500,Qualcomm Snapdragon 680 Processor,"12,421 Ratings & 1,467 Reviews",27% off
109,"POCO C31 (Royal Blue, 64 GB)",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,87,995 Ratings & 11,329 Reviews",6% off
110,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",128 GB ROM,"1,40,978 Ratings & 11,531 Reviews",37% off
111,"MOTOROLA e40 (Carbon Gray, 64 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,"59,846 Ratings & 5,853 Reviews",40% off
112,"I Kall King Talking, Contact icon and Auto Call Recording",12MP + 12MP | 12MP Front Camera,"15,092 Ratings & 1,403 Reviews",11% off
113,"POCO C31 (Shadow Gray, 64 GB)","A15 Bionic Chip, 6 Core Processor Processor","1,87,995 Ratings & 11,329 Reviews",37% off
114,"POCO C31 (Royal Blue, 32 GB)",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,25,372 Ratings & 7,433 Reviews",6% off
115,"POCO M4 Pro 5G (Cool Blue, 64 GB)",64 GB ROM,"35,159 Ratings & 3,125 Reviews",37% off
116,DIZO Star 500,32 MB RAM | 32 MB ROM | Expandable Upto 64 GB,"12,421 Ratings & 1,467 Reviews",14% off
117,"APPLE iPhone 14 (Midnight, 128 GB)",7.11 cm (2.8 inch) QVGA Display,"4,247 Ratings & 163 Reviews",40% off
118,"REDMI 10 (Pacific Blue, 64 GB)",0.3MP Rear Camera,"1,70,664 Ratings & 10,998 Reviews",40% off
119,"REDMI 10 (Caribbean Green, 64 GB)",1900 mAh Battery,"1,70,664 Ratings & 10,998 Reviews",14% off
120,"APPLE iPhone 14 (Blue, 128 GB)",SC6531E Processor,"4,247 Ratings & 163 Reviews",20% off
121,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",1 Year Warranty,"1,11,744 Ratings & 6,424 Reviews",13% off
122,"APPLE iPhone 11 (White, 64 GB)",128 GB ROM,"1,78,400 Ratings & 10,573 Reviews",40% off
123,"POCO M4 Pro (Cool Blue, 128 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,"1,34,237 Ratings & 12,247 Reviews",38% off
124,"POCO M4 Pro (Cool Blue, 64 GB)",12MP + 12MP | 12MP Front Camera,"1,34,237 Ratings & 12,247 Reviews",11% off
125,"POCO M4 Pro 5G (Cool Blue, 64 GB)","A15 Bionic Chip, 6 Core Processor Processor","35,159 Ratings & 3,125 Reviews",13% off
126,"APPLE iPhone 11 (Black, 64 GB)",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,78,400 Ratings & 10,573 Reviews",38% off
